Season,Position,AllTeam,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
405,0,0,Jason Kapono,CHA,24,81,17,64,18.4,8.5,3.3,8.3,40.1,1,2.4,41.2,0.9,1,82.4,0.4,1.6,2,0.8,0.6,0.5,0.1,1.6,0,0,-1
405,0,0,Anthony Johnson,IND,30,63,34,29,27.9,8.4,3.2,7.2,44.5,0.7,1.7,38,1.3,1.8,75.2,0.5,2.3,2.8,4.8,1.5,0.9,0.2,2.3,3,0,0.4
405,0,0,Michael Sweetney,NYK,22,77,32,45,19.5,8.4,3.1,5.8,53.1,0,0,0,2.3,3.1,74.9,2.2,3.2,5.4,0.6,1.4,0.4,0.4,2.9,4,0,-0.4
405,0,0,Predrag Drobnjak,ATL,29,71,13,58,20.3,8.4,3.4,7.6,43.8,0.4,1,35.2,1.4,1.7,80,1,2.3,3.4,0.7,1.1,0.6,0.3,1.9,0,0,-3
405,0,0,Kareem Rush,CHA,24,48,16,32,20.1,8.4,3.3,8.5,38.7,1.1,2.9,37.2,0.8,1,77.1,0.4,1.4,1.9,1.4,1,0.4,0.1,1.5,0,0,-2.9
405,0,0,Andres Nocioni,CHI,25,81,47,34,23.4,8.4,3,7.4,40.1,0.3,1.2,25.8,2.1,2.7,76.6,0.9,3.9,4.8,1.5,1.7,0.5,0.4,2.6,3,0,-2.2
405,0,0,Bruce Bowen,SAS,34,82,59,23,32,8.2,3.1,7.3,42,1.2,3.1,40.3,0.9,1.4,63.4,0.6,2.9,3.5,1.5,0.7,0.7,0.5,2.1,0,0,4.9
405,0,0,Samuel Dalembert,PHI,25,72,39,33,24.9,8.2,3.5,6.6,52.4,0,0,0,1.2,2.1,60.1,2.6,4.9,7.5,0.5,1.6,0.6,1.7,3.3,10,0,0.5
405,0,0,James Posey,MEM,28,50,28,22,27.7,8.1,2.5,7.1,35.7,1.1,3.6,30.9,1.9,2.2,86.5,0.9,3.5,4.4,1.8,1.4,1,0.5,2.7,1,0,-1.3
405,0,0,Juan Dixon,WAS,26,63,35,28,16.7,8,3,7.1,41.6,0.8,2.3,32.7,1.4,1.5,89.7,0.5,1.4,1.9,1.8,1.1,0.7,0.1,1.6,0,0,-1.2
405,0,0,Othella Harrington,CHI,31,70,40,30,18.3,8,3.1,6.1,51.2,0,0,0,1.8,2.5,71.8,1.5,2.7,4.2,0.8,1.2,0.3,0.3,2.7,2,0,2.4
405,0,0,Tyson Chandler,CHI,22,80,46,34,27.3,8,2.6,5.2,49.4,0,0,0,2.8,4.2,67.3,3.3,6.4,9.7,0.8,1.5,0.9,1.8,3.4,21,0,1.3
405,0,0,Chris Wilcox,LAC,22,54,23,31,18.6,7.9,3.1,6.1,51.4,0,0,0,1.6,2.7,61.1,1.2,3.1,4.2,0.7,1.4,0.5,0.4,2.4,2,0,-1
405,0,0,Keith McLeod,UTA,25,53,18,35,26.1,7.8,2.7,7.7,35,0.3,1.4,25,2.1,2.8,76.7,0.4,1.8,2.1,4.5,1.9,1.2,0.2,2.6,3,0,-2.3
405,0,0,DeShawn Stevenson,ORL,24,55,24,31,19.6,7.8,3.2,7.7,40.8,0.5,1.2,37.3,1,1.8,55.4,0.7,1.2,1.9,1.3,1,0.3,0.2,1.3,0,0,-2.7
405,0,0,Eric Williams,TOR,32,55,23,32,24.1,7.7,2.6,6,43,0.5,1.3,38.4,2,2.9,69.6,0.8,2.3,3.1,1.7,1.1,0.7,0.1,2.7,0,0,-1.7
405,0,0,Earl Watson,MEM,26,80,44,36,22.7,7.7,3,6.9,42.6,0.7,2,31.9,1.1,1.7,65.9,0.4,1.6,2.1,4.5,2.1,1,0.2,2.3,3,0,1.9
405,0,0,Willie Green,PHI,23,57,23,34,18.7,7.7,2.7,7.4,36.6,0.5,1.8,28.6,1.7,2.2,77.6,0.4,1.9,2.3,1.8,1.3,0.6,0.1,2.1,0,0,-2.2
405,0,0,Chris Andersen,NOH,26,67,17,50,21.3,7.7,2.9,5.3,53.4,0,0,0,2,2.8,68.9,2,4.1,6.1,1.1,1,0.2,1.5,2.1,6,0,-0.8
405,0,0,Rodney Rogers,PHI,34,58,25,33,23.6,7.7,3,7.8,38.2,0.8,2.9,28.6,0.9,1.2,74.3,1.1,3.2,4.2,1.5,1.5,0.7,0.3,3,1,0,-3.9
405,0,0,Alonzo Mourning,MIA,35,37,17,20,19,7.6,2.7,5.7,47.2,0,0,0,2.2,3.8,58.2,1.4,3.9,5.4,0.5,1.5,0.2,2,2.2,4,0,-1.2
405,0,0,Ron Mercer,NJN,29,18,8,10,21.7,7.6,3.6,8.8,41.1,0,0.2,0,0.4,0.6,70,0.5,1.7,2.2,1.1,0.8,0.9,0.1,1.1,0,0,-4.4
405,0,0,Jumaine Jones,LAL,26,76,31,45,24.1,7.6,2.8,6.4,43.2,1.3,3.4,39.1,0.7,1,73.3,1.4,3.8,5.2,0.9,0.6,0.6,0.3,2.2,4,0,-0.5
405,0,0,Eddie Griffin,MIN,23,70,37,33,21.3,7.5,2.9,7.5,38.7,1,2.9,32.8,0.8,1.1,71.8,1.8,4.6,6.5,0.8,0.8,0.3,1.7,1.7,6,0,1.8
405,0,0,Clifford Robinson,NJN,38,71,32,39,23.9,7.5,2.8,7.4,38.6,0.9,2.7,34.7,0.9,1.4,63.9,0.8,2.2,2.9,1.5,0.9,0.9,0.7,2.5,0,0,-4.3
405,0,0,Darius Songaila,SAC,27,81,50,31,20.5,7.5,3.2,6,52.7,0,0,0,1.2,1.4,84.7,1.5,2.7,4.2,1.4,0.9,0.6,0.2,2.5,6,0,1.6
405,0,0,Danny Fortson,SEA,29,62,42,20,16.9,7.5,1.9,3.6,52.2,0,0,0,3.7,4.2,88,2.5,3.1,5.6,0.1,1.5,0.2,0.1,4.3,6,0,1.3
405,0,0,Brent Barry,SAS,33,81,59,22,21.4,7.4,2.4,5.7,42.3,1.2,3.5,35.7,1.4,1.7,83.7,0.4,2,2.3,2.2,0.8,0.5,0.2,1.5,0,0,2.9
405,0,0,Shaun Livingston,LAC,19,30,13,17,27.3,7.4,3,7.2,41.4,0,0.1,0,1.5,2,74.6,0.7,2.2,3,5,2.5,1.1,0.4,2.7,1,0,-0.6
405,0,0,Devin Brown,SAS,26,67,50,17,18.4,7.4,2.6,6.1,42.3,0.7,1.8,37.2,1.5,1.9,79.2,0.6,2.1,2.6,1.4,0.8,0.6,0.2,1.2,0,0,0.6
405,0,0,Devean George,LAL,27,15,2,13,20.5,7.3,2.5,6.9,35.6,1.4,3.9,36.2,1,1.3,75,0.9,2.7,3.5,0.9,0.8,0.5,0.1,2.1,0,0,-4.7
