Season,Position,AllTeam,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
1617,0,0,Kenneth Faried,DEN,27,61,29,32,21.2,9.6,3.7,6.8,54.8,0,0.1,0,2.1,3.1,69.3,3,4.6,7.6,0.9,1,0.7,0.7,2,11,0,-1
1617,0,0,E'Twaun Moore,NOP,28,73,32,41,24.9,9.6,3.9,8.5,45.7,1.1,2.8,37,0.8,1,77,0.5,1.6,2.1,2.2,0.8,0.7,0.4,1.8,0,0,-1.5
1617,0,0,Patrick Beverley,HOU,28,67,46,21,30.7,9.5,3.4,8.1,42,1.6,4.3,38.2,1.1,1.4,76.8,1.4,4.4,5.9,4.2,1.5,1.5,0.4,3.3,6,0,5.3
1617,0,0,Derrick Favors,UTA,25,50,33,17,23.7,9.5,4.1,8.3,48.7,0.1,0.2,30,1.3,2.2,61.5,1.8,4.3,6.1,1.1,1.2,0.9,0.8,2.1,6,0,1.1
1617,0,0,Patty Mills,SAS,28,80,60,20,21.9,9.5,3.4,7.8,44,1.8,4.4,41.4,0.8,1,82.5,0.3,1.5,1.8,3.5,1.3,0.8,0,1.4,1,0,5.1
1617,0,0,Nik Stauskas,PHI,23,80,27,53,27.3,9.5,3.1,7.9,39.6,1.7,4.5,36.8,1.5,1.9,81.3,0.3,2.6,2.8,2.4,1.6,0.6,0.4,1.8,0,0,-2.4
1617,0,0,Michael Beasley,MIL,28,56,23,33,16.7,9.4,3.9,7.3,53.2,0.3,0.8,41.9,1.4,1.9,74.3,0.7,2.7,3.4,0.9,1.2,0.5,0.5,1.6,1,0,-0.7
1617,0,0,Brandon Ingram,LAL,19,79,26,53,28.9,9.4,3.5,8.7,40.2,0.7,2.4,29.4,1.7,2.7,62.1,0.8,3.2,4,2.1,1.5,0.6,0.5,2,0,0,-4.8
1617,0,0,Ish Smith,DET,28,81,37,44,24.1,9.4,4.1,9.2,43.9,0.3,1.3,26.7,0.9,1.3,70.6,0.3,2.6,2.9,5.2,1.4,0.8,0.4,1.6,3,0,0.6
1617,0,0,Cory Joseph,TOR,25,80,49,31,25,9.3,3.7,8.3,45.2,0.6,1.7,35.6,1.2,1.5,77,0.6,2.3,2.9,3.3,1.4,0.8,0.2,1.8,1,0,0.5
1617,0,0,Jeff Green,ORL,30,69,26,43,22.2,9.2,3.2,8.1,39.4,0.8,2.8,27.5,2.1,2.4,86.3,0.6,2.5,3.1,1.2,1.1,0.5,0.2,1.5,1,0,-4.3
1617,0,0,Gerald Henderson,PHI,29,72,24,48,23.2,9.2,3.3,7.7,42.3,0.8,2.4,35.3,1.8,2.3,80.6,0.5,2.1,2.6,1.6,0.9,0.6,0.2,1.8,0,0,-4.2
1617,0,0,Marquese Chriss,PHX,19,82,24,58,21.3,9.2,3.5,7.7,44.9,0.9,2.7,32.1,1.4,2.2,62.4,1.2,3.1,4.2,0.7,1.3,0.8,0.9,3.2,3,0,-4.6
1617,0,0,Michael Kidd-Gilchrist,CHA,23,81,36,45,29,9.2,3.6,7.6,47.7,0,0.1,11.1,1.9,2.4,78.4,1.9,5,7,1.4,0.7,1,1,2.3,11,0,-0.1
1617,0,0,Joe Johnson,UTA,35,78,47,31,23.6,9.2,3.5,8,43.6,1.4,3.3,41.1,0.8,1,81.8,0.4,2.7,3.1,1.8,0.9,0.5,0.2,1.2,0,0,1.5
1617,0,0,Jameer Nelson,DEN,35,75,34,41,27.3,9.2,3.6,8.1,44.4,1.4,3.6,38.8,0.6,0.8,71.4,0.4,2.2,2.6,5.1,1.7,0.7,0.1,2.6,4,0,1.7
1617,0,0,Channing Frye,CLE,33,74,44,30,18.9,9.1,3.2,7,45.8,1.9,4.5,40.9,0.9,1,85.1,0.5,3.4,3.9,0.6,0.7,0.4,0.5,1.9,2,0,0.8
1617,0,0,Nene,HOU,34,67,47,20,17.9,9.1,3.7,5.9,61.7,0,0.1,33.3,1.7,2.9,58.9,1.4,2.8,4.2,1,1.1,0.8,0.6,2.4,0,0,2.9
1617,0,0,Montrezl Harrell,HOU,23,58,39,19,18.3,9.1,3.9,5.9,65.2,0,0.1,14.3,1.3,2.1,62.8,1.4,2.4,3.8,1.1,0.8,0.3,0.7,2.2,3,0,1.8
1617,0,0,Jodie Meeks,ORL,29,36,14,22,20.5,9.1,2.9,7.1,40.2,1.6,3.8,40.9,1.8,2.1,87.8,0.1,2,2.1,1.3,1,0.9,0.1,1.1,0,0,-2.8
1617,0,0,Tony Allen,MEM,35,71,36,35,27,9.1,3.9,8.4,46.1,0.2,0.8,27.8,1.1,1.8,61.5,2.3,3.2,5.5,1.4,1.4,1.6,0.4,2.5,5,0,-0.1
1617,0,0,Kelly Olynyk,BOS,26,75,49,26,20.5,9,3.5,6.8,51.2,0.9,2.6,35.4,1.2,1.6,73.2,1,3.8,4.8,2,1.3,0.6,0.4,2.8,2,0,0.2
1617,0,0,Evan Turner,POR,28,65,34,31,25.5,9,3.6,8.5,42.6,0.5,1.8,26.3,1.3,1.6,82.5,0.6,3.2,3.8,3.2,1.5,0.8,0.4,1.9,2,0,-2.8
1617,0,0,Dahntay Jones,CLE,36,1,0,1,12,9,3,8,37.5,0,2,0,3,4,75,1,1,2,1,1,0,0,1,0,0,2
1617,0,0,Doug McDermott,OKC,25,66,35,31,22.8,9,3.4,7.5,44.7,1.2,3.2,37,1.1,1.3,84.5,0.3,2.4,2.7,0.9,0.6,0.2,0.1,1.2,1,0,-0.4
1617,0,0,JaMychal Green,MEM,26,77,40,37,27.3,8.9,3.2,6.5,50,0.7,1.9,37.9,1.7,2.2,80.2,2.2,4.9,7.1,1.1,1.2,0.6,0.4,3.2,10,0,-0.4
1617,0,0,DeMarre Carroll,TOR,30,72,44,28,26.1,8.9,3.1,7.6,40,1.5,4.4,34.1,1.2,1.6,76.1,0.9,2.9,3.8,1,0.8,1.1,0.4,2,2,0,1.6
1617,0,0,Skal Labissiere,SAC,21,33,9,24,18.5,8.8,3.5,6.6,53.7,0.1,0.2,37.5,1.6,2.2,70.3,1.5,3.4,4.9,0.8,1.1,0.5,0.4,1.9,2,0,-1.2
1617,0,0,Nerlens Noel,DAL,23,51,24,27,20.5,8.7,3.6,6.1,59.5,0,0,0,1.5,2.2,69.4,1.8,3.9,5.8,1,1,1.3,1,2.5,3,0,-1.6
1617,0,0,Al-Farouq Aminu,POR,26,61,33,28,29.1,8.7,3,7.6,39.3,1.1,3.5,33,1.6,2.2,70.6,1.3,6.1,7.4,1.6,1.5,1,0.7,1.7,4,0,0.4
1617,0,0,Marreese Speights,LAC,29,82,51,31,15.7,8.7,3,6.7,44.5,1.3,3.4,37.2,1.5,1.7,87.6,1.1,3.5,4.5,0.8,0.8,0.3,0.5,2.8,4,0,-0.5
